"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="2876366557032507446",="2876366557031507446","【99价】SERUMKIND韩国保湿滋润抗衰老软化角质青春焕彩唇部精华3.9g","139.00","1","null","null","null","null","交易成功","null",="2022090822001188951426265876","104.00","104.00","没有申请退款","无退款申请","2022-09-08 21:56:40","2022-09-08 21:56:46"
="2876366557033507446",="2876366557031507446","【赠品专用】SERUMKIND精华液小样1ml*3","25.00","2","null","null","null","null","交易成功","null",="2022090822001188951426265876","0.00","0.00","没有申请退款","无退款申请","2022-09-08 21:56:40","2022-09-08 21:56:46"
="2876680514934210510",="2876680514933210510","【99价】SERUMKIND韩国保湿滋润抗衰老软化角质青春焕彩唇部精华3.9g","139.00","1","null","null","null","null","交易成功","null",="2022090822001195271400906212","104.00","104.00","没有申请退款","无退款申请","2022-09-08 21:03:30","2022-09-08 21:03:40"
="2876680514935210510",="2876680514933210510","【赠品专用】SERUMKIND精华液小样1ml*3","25.00","2","null","null","null","null","交易成功","null",="2022090822001195271400906212","0.00","0.00","没有申请退款","无退款申请","2022-09-08 21:03:30","2022-09-08 21:03:40"
="2876216077543202324",="2876216077542202324","【99价】SERUMKIND韩国保湿滋润抗衰老软化角质青春焕彩唇部精华3.9g","139.00","1","null","null","null","null","交易成功","null",="2022090822001104401442993912","104.00","104.00","没有申请退款","无退款申请","2022-09-08 20:34:32","2022-09-08 20:34:37"
="2876216077544202324",="2876216077542202324","【赠品专用】SERUMKIND精华液小样1ml*3","25.00","2","null","null","null","null","交易成功","null",="2022090822001104401442993912","0.00","0.00","没有申请退款","无退款申请","2022-09-08 20:34:32","2022-09-08 20:34:37"
="1666043583220131082",="1666043583219131082","【99价】SERUMKIND韩国阳光葡萄清颜精华液30ml","269.00","1","8809754820689","null","null","null","交易成功","8809754820689",="2022090822001164381432637255","177.55","167.61","没有申请退款","无退款申请","2022-09-08 20:04:36","2022-09-08 20:04:44"
="1666043583221131082",="1666043583219131082","【赠品专用】SERUMKIND精华液小样1ml*3","25.00","2","null","null","null","null","交易成功","null",="2022090822001164381432637255","0.00","0.00","没有申请退款","无退款申请","2022-09-08 20:04:36","2022-09-08 20:04:44"
="1665308532724225294",="1665308532723225294","【99价】SUREBASE烁贝思韩国焕彩保湿水光气垫正装(含2个粉扑/无替换装)","259.00","1","null","颜色分类：N1 SINCERE SARA;净含量：13ml","null","null","交易成功","null",="2022090822001145451437622668","224.00","224.00","没有申请退款","无退款申请","2022-09-08 19:51:11","2022-09-08 19:51:17"
="1665308532725225294",="1665308532723225294","【赠品专用】SERUMKIND精华液小样1ml*3","25.00","2","null","null","null","null","交易成功","null",="2022090822001145451437622668","0.00","0.00","没有申请退款","无退款申请","2022-09-08 19:51:11","2022-09-08 19:51:17"
="2876718747566421120",="2876718747565421120","【99价】SERUMKIND韩国保湿滋润抗衰老软化角质青春焕彩唇部精华3.9g","139.00","1","null","null","null","null","交易成功","null",="2022090822001144351451388784","104.00","104.00","没有申请退款","无退款申请","2022-09-08 18:48:26","2022-09-08 18:48:32"
="2876718747567421120",="2876718747565421120","【赠品专用】SERUMKIND精华液小样1ml*3","25.00","2","null","null","null","null","交易成功","null",="2022090822001144351451388784","0.00","0.00","没有申请退款","无退款申请","2022-09-08 18:48:26","2022-09-08 18:48:32"
="1665895335623832299",="1665895335622832299","【99价】SUREBASE烁贝思韩国焕彩保湿水光妆容气垫替换装13ml","139.00","1","null","颜色分类：N1 SINCERE SARA (替换装);净含量：13ml","null","null","交易成功","null",="2022090822001104771402104307","83.79","83.79","没有申请退款","无退款申请","2022-09-08 17:18:37","2022-09-08 17:18:43"
="1665895335624832299",="1665895335622832299","【99价】SERUMKIND韩国保湿滋润抗衰老软化角质青春焕彩唇部精华3.9g","139.00","1","null","null","null","null","交易成功","null",="2022090822001104771402104307","83.79","83.79","没有申请退款","无退款申请","2022-09-08 17:18:37","2022-09-08 17:18:43"
="1665895335625832299",="1665895335622832299","【赠品专用】SERUMKIND精华液小样1ml*3","25.00","2","null","null","null","null","交易成功","null",="2022090822001104771402104307","0.00","0.00","没有申请退款","无退款申请","2022-09-08 17:18:37","2022-09-08 17:18:43"
="1665895335626832299",="1665895335622832299","【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml","25.00","1","8809754820887","null","null","null","交易成功","8809754820887",="2022090822001104771402104307","0.00","0.00","没有申请退款","无退款申请","2022-09-08 17:18:37","2022-09-08 17:18:43"
="1665895335627832299",="1665895335622832299","【赠品专用】SUREBASE烁贝思粉扑2件装","20.00","1","null","null","null","null","交易成功","null",="2022090822001104771402104307","0.00","0.00","没有申请退款","无退款申请","2022-09-08 17:18:37","2022-09-08 17:18:43"
="2876447775398031840",="2876447775397031840","【99价】SERUMKIND韩国阳光葡萄清颜精华液30ml","269.00","1","8809754820689","null","null","null","交易关闭","8809754820689",="2022090822001111401445337405","201.00","201.00","退款成功","201.00","2022-09-08 16:30:48","2022-09-08 16:30:56"
="2876447775399031840",="2876447775397031840","【赠品专用】SERUMKIND精华液小样1ml*3","25.00","2","null","null","null","null","交易关闭","null",="2022090822001111401445337405","0.00","0.00","退款成功","0.00","2022-09-08 16:30:48","2022-09-08 16:30:56"
="2876432979684657604",="2876432979683657604","【99价】SERUMKIND韩国保湿滋润抗衰老软化角质青春焕彩唇部精华3.9g","139.00","1","null","null","null","null","交易成功","null",="2022090822001180231455812640","104.00","104.00","没有申请退款","无退款申请","2022-09-08 16:22:32","2022-09-08 16:22:44"
